sex,age,SES,PIF
male,0,0,0
male,1,0,0
male,2,0,0
male,3,0,0
male,4,0,0
male,5,0,0
male,6,0,0
male,7,0,0
male,8,0,0
male,9,0,0
male,10,0,0
male,11,0,0
male,12,0,0
male,13,0,0
male,14,0,0
male,15,0,0
male,16,0,0
male,17,0,0
male,18,0,0
male,19,0,0
male,20,0,0
male,21,0,0
male,22,0,0
male,23,0,0
male,24,0,0
male,25,0,0.094701419
male,26,0,0.094701419
male,27,0,0.094701419
male,28,0,0.094701419
male,29,0,0.094701419
male,30,0,0.125622637
male,31,0,0.125622637
male,32,0,0.125622637
male,33,0,0.125622637
male,34,0,0.125622637
male,35,0,0.149479166
male,36,0,0.149479166
male,37,0,0.149479166
male,38,0,0.149479166
male,39,0,0.149479166
male,40,0,0.171124671
male,41,0,0.171124671
male,42,0,0.171124671
male,43,0,0.171124671
male,44,0,0.171124671
male,45,0,0.139492219
male,46,0,0.139492219
male,47,0,0.139492219
male,48,0,0.139492219
male,49,0,0.139492219
male,50,0,0.146598663
male,51,0,0.146598663
male,52,0,0.146598663
male,53,0,0.146598663
male,54,0,0.146598663
male,55,0,0.130138946
male,56,0,0.130138946
male,57,0,0.130138946
male,58,0,0.130138946
male,59,0,0.130138946
male,60,0,0.128697982
male,61,0,0.128697982
male,62,0,0.128697982
male,63,0,0.128697982
male,64,0,0.128697982
male,65,0,0.057220571
male,66,0,0.057220571
male,67,0,0.057220571
male,68,0,0.057220571
male,69,0,0.057220571
male,70,0,0.048583697
male,71,0,0.048583697
male,72,0,0.048583697
male,73,0,0.048583697
male,74,0,0.048583697
male,75,0,0.010067192
male,76,0,0.010067192
male,77,0,0.010067192
male,78,0,0.010067192
male,79,0,0.010067192
male,80,0,0.005099831
male,81,0,0.005099831
male,82,0,0.005099831
male,83,0,0.005099831
male,84,0,0.005099831
male,85,0,0.005107255
male,86,0,0.005107255
male,87,0,0.005107255
male,88,0,0.005107255
male,89,0,0.005107255
male,90,0,0.005115915
male,91,0,0.005115915
male,92,0,0.005115915
male,93,0,0.005115915
male,94,0,0.005115915
male,95,0,0.005115915
male,96,0,0.005115915
male,97,0,0.005115915
male,98,0,0.005115915
male,99,0,0.005115915
male,100,0,0.005115915
male,101,0,0.005115915
male,102,0,0.005115915
male,103,0,0.005115915
male,104,0,0.005115915
male,105,0,0.005115915
male,106,0,0.005115915
male,107,0,0.005115915
male,108,0,0.005115915
male,109,0,0.005115915
male,110,0,0.005115915
female,0,0,0
female,1,0,0
female,2,0,0
female,3,0,0
female,4,0,0
female,5,0,0
female,6,0,0
female,7,0,0
female,8,0,0
female,9,0,0
female,10,0,0
female,11,0,0
female,12,0,0
female,13,0,0
female,14,0,0
female,15,0,0
female,16,0,0
female,17,0,0
female,18,0,0
female,19,0,0
female,20,0,0
female,21,0,0
female,22,0,0
female,23,0,0
female,24,0,0
female,25,0,0.047139231
female,26,0,0.047139231
female,27,0,0.047139231
female,28,0,0.047139231
female,29,0,0.047139231
female,30,0,0.063502872
female,31,0,0.063502872
female,32,0,0.063502872
female,33,0,0.063502872
female,34,0,0.063502872
female,35,0,0.072182492
female,36,0,0.072182492
female,37,0,0.072182492
female,38,0,0.072182492
female,39,0,0.072182492
female,40,0,0.08354403
female,41,0,0.08354403
female,42,0,0.08354403
female,43,0,0.08354403
female,44,0,0.08354403
female,45,0,0.074239863
female,46,0,0.074239863
female,47,0,0.074239863
female,48,0,0.074239863
female,49,0,0.074239863
female,50,0,0.079882143
female,51,0,0.079882143
female,52,0,0.079882143
female,53,0,0.079882143
female,54,0,0.079882143
female,55,0,0.074352622
female,56,0,0.074352622
female,57,0,0.074352622
female,58,0,0.074352622
female,59,0,0.074352622
female,60,0,0.074832377
female,61,0,0.074832377
female,62,0,0.074832377
female,63,0,0.074832377
female,64,0,0.074832377
female,65,0,0.040887162
female,66,0,0.040887162
female,67,0,0.040887162
female,68,0,0.040887162
female,69,0,0.040887162
female,70,0,0.034799359
female,71,0,0.034799359
female,72,0,0.034799359
female,73,0,0.034799359
female,74,0,0.034799359
female,75,0,0.057112115
female,76,0,0.057112115
female,77,0,0.057112115
female,78,0,0.057112115
female,79,0,0.057112115
female,80,0,0.027773396
female,81,0,0.027773396
female,82,0,0.027773396
female,83,0,0.027773396
female,84,0,0.027773396
female,85,0,0.012840324
female,86,0,0.012840324
female,87,0,0.012840324
female,88,0,0.012840324
female,89,0,0.012840324
female,90,0,0.012828254
female,91,0,0.012828254
female,92,0,0.012828254
female,93,0,0.012828254
female,94,0,0.012828254
female,95,0,0.012828254
female,96,0,0.012828254
female,97,0,0.012828254
female,98,0,0.012828254
female,99,0,0.012828254
female,100,0,0.012828254
female,101,0,0.012828254
female,102,0,0.012828254
female,103,0,0.012828254
female,104,0,0.012828254
female,105,0,0.012828254
female,106,0,0.012828254
female,107,0,0.012828254
female,108,0,0.012828254
female,109,0,0.012828254
female,110,0,0.012828254
male,0,1,0
male,1,1,0
male,2,1,0
male,3,1,0
male,4,1,0
male,5,1,0
male,6,1,0
male,7,1,0
male,8,1,0
male,9,1,0
male,10,1,0
male,11,1,0
male,12,1,0
male,13,1,0
male,14,1,0
male,15,1,0
male,16,1,0
male,17,1,0
male,18,1,0
male,19,1,0
male,20,1,0
male,21,1,0
male,22,1,0
male,23,1,0
male,24,1,0
male,25,1,0.094701419
male,26,1,0.094701419
male,27,1,0.094701419
male,28,1,0.094701419
male,29,1,0.094701419
male,30,1,0.125622637
male,31,1,0.125622637
male,32,1,0.125622637
male,33,1,0.125622637
male,34,1,0.125622637
male,35,1,0.149479166
male,36,1,0.149479166
male,37,1,0.149479166
male,38,1,0.149479166
male,39,1,0.149479166
male,40,1,0.171124671
male,41,1,0.171124671
male,42,1,0.171124671
male,43,1,0.171124671
male,44,1,0.171124671
male,45,1,0.139492219
male,46,1,0.139492219
male,47,1,0.139492219
male,48,1,0.139492219
male,49,1,0.139492219
male,50,1,0.146598663
male,51,1,0.146598663
male,52,1,0.146598663
male,53,1,0.146598663
male,54,1,0.146598663
male,55,1,0.130138946
male,56,1,0.130138946
male,57,1,0.130138946
male,58,1,0.130138946
male,59,1,0.130138946
male,60,1,0.128697982
male,61,1,0.128697982
male,62,1,0.128697982
male,63,1,0.128697982
male,64,1,0.128697982
male,65,1,0.057220571
male,66,1,0.057220571
male,67,1,0.057220571
male,68,1,0.057220571
male,69,1,0.057220571
male,70,1,0.048583697
male,71,1,0.048583697
male,72,1,0.048583697
male,73,1,0.048583697
male,74,1,0.048583697
male,75,1,0.010067192
male,76,1,0.010067192
male,77,1,0.010067192
male,78,1,0.010067192
male,79,1,0.010067192
male,80,1,0.005099831
male,81,1,0.005099831
male,82,1,0.005099831
male,83,1,0.005099831
male,84,1,0.005099831
male,85,1,0.005107255
male,86,1,0.005107255
male,87,1,0.005107255
male,88,1,0.005107255
male,89,1,0.005107255
male,90,1,0.005115915
male,91,1,0.005115915
male,92,1,0.005115915
male,93,1,0.005115915
male,94,1,0.005115915
male,95,1,0.005115915
male,96,1,0.005115915
male,97,1,0.005115915
male,98,1,0.005115915
male,99,1,0.005115915
male,100,1,0.005115915
male,101,1,0.005115915
male,102,1,0.005115915
male,103,1,0.005115915
male,104,1,0.005115915
male,105,1,0.005115915
male,106,1,0.005115915
male,107,1,0.005115915
male,108,1,0.005115915
male,109,1,0.005115915
male,110,1,0.005115915
