age,sex,sub_pops,prop0,prop1,prop2,prop3,prop4,mort_RR0,mort_RR1,mort_RR2,mort_RR3,mort_RR4,yld_RR0,yld_RR1,yld_RR2,yld_RR3,yld_RR4
0,female,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
1,female,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
2,female,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
3,female,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
4,female,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
5,female,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
6,female,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
7,female,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
8,female,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
9,female,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
10,female,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
11,female,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
12,female,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
13,female,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
14,female,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
15,female,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
16,female,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
17,female,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
18,female,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
19,female,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
20,female,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
21,female,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1
