cohort,age,sex,year,mortality,yld,N,subPops,prop0,prop1,prop2,prop3,prop4,mort_RR0,mort_RR1,mort_RR2,mort_RR3,mort_RR4,yld_RR0,yld_RR1,yld_RR2,yld_RR3,yld_RR4
0,2,female,2011,0.0002,0.0321,44100,5,0.2,0.2,0.2,0.2,0.2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0,3,female,2012,0.0001,0.0321,44100,5,0.2,0.2,0.2,0.2,0.2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0,4,female,2013,0.0001,0.0321,44100,5,0.2,0.2,0.2,0.2,0.2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0,5,female,2014,0.0001,0.0351,44100,5,0.2,0.2,0.2,0.2,0.2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0,6,female,2015,0.0001,0.0351,44100,5,0.2,0.2,0.2,0.2,0.2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0,7,female,2016,0.0001,0.0351,44100,5,0.2,0.2,0.2,0.2,0.2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0,8,female,2017,0.0001,0.0351,44100,5,0.2,0.2,0.2,0.2,0.2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0,9,female,2018,0.0001,0.0351,44100,5,0.2,0.2,0.2,0.2,0.2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0,10,female,2019,0.0001,0.0362,44100,5,0.2,0.2,0.2,0.2,0.2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0,11,female,2020,0.0001,0.0362,44100,5,0.2,0.2,0.2,0.2,0.2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0,12,female,2021,0.0002,0.0362,44100,5,0.2,0.2,0.2,0.2,0.2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
